runs,split,train_accuracy,train_precision,train_recall,train_fscore,test_accuracy,test_precision,test_recall,test_fscore
300,1,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,2,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,3,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,4,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,5,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,6,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,7,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,8,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,9,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,10,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,11,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,12,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,13,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,14,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,15,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,16,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,17,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,18,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,19,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,20,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,21,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,22,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,23,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,24,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,25,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,26,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,27,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,28,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,29,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,30,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,31,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,32,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,33,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,34,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,35,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,36,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,37,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,38,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,39,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,40,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
300,41,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0"
