cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"5389,395908324054","[[187, 36], [1797, 1786], [661, 315], [1596, 252], [279, 242], [1831, 1881], [198, 122], [692, 661], [395, 347], [392, 1907]]",6,2,10,"1,1",18082020,0,"0,6731002712697773","0,2671523947929376","0,6731002712697773","0,28485694561739633","0,109","0,1262827642306033","0,891",85,207,56,268,233,322,121,291,267,150
"5369,9589352740395","[[198, 18], [1797, 1786], [1506, 1586], [252, 1596], [1831, 1322], [395, 347], [392, 1717], [395, 374], [1981, 279], [296, 392]]",3,2,10,"1,1",18082021,1,"0,6604541001372465","0,2885754831557077","0,6604541001372465","0,30730650612950167","0,178","0,17400280299364154","0,8220000000000001",194,215,135,238,263,304,108,98,284,161
"5416,347009726793","[[1596, 1581], [187, 46], [395, 347], [525, 817], [1831, 1881], [392, 374], [198, 69], [692, 661], [279, 817], [392, 661]]",7,2,10,"1,1",18082022,2,"0,7185047227103308","0,22798210701043975","0,7185047227103308","0,2812278915416991","0,0565","0,051972638126725666","0,9435",211,243,267,117,337,180,140,273,170,62
"5404,894676876592","[[1797, 1786], [198, 18], [1444, 279], [692, 661], [392, 817], [525, 1981], [347, 395], [242, 336], [1831, 1369], [1253, 1315]]",4,2,10,"1,1",18082023,3,"0,6618984585374376","0,2889047979360575","0,6618984585374376","0,3137145728729938","0,18249999999999997","0,1858847549969545","0,8175",230,194,96,251,168,177,331,156,237,160
"5405,521169033858","[[395, 347], [1831, 1369], [392, 296], [661, 296], [198, 18], [692, 661], [1831, 1981], [279, 1981], [1797, 1786], [374, 392]]",6,2,10,"1,1",18082024,4,"0,722127406173321","0,22817346413238437","0,722127406173321","0,27347797155973685","0,18549999999999997","0,18085654812595034","0,8145",283,250,122,123,194,264,146,279,226,113
"5380,44335776207","[[1797, 1786], [347, 395], [661, 296], [1831, 1981], [1831, 1369], [198, 18], [279, 817], [1596, 252], [392, 374], [1981, 662]]",5,2,10,"1,1",18082025,5,"0,6860002146669649","0,26566699090391155","0,6860002146669649","0,31293763340144604","0,142","0,12802774442340834","0,858",226,286,128,137,239,194,184,269,136,201
"5460,329378926951","[[1768, 392], [198, 18], [279, 1981], [525, 817], [1831, 1369], [661, 1981], [525, 296], [347, 395], [1768, 392], [1981, 817]]",3,2,10,"1,1",18082026,6,"0,761714445545843","0,1897783798579128","0,761714445545843","0,242724667034914","0,143","0,12635685722532872","0,857",0,217,219,218,315,124,148,354,316,89
"5413,242806479053","[[296, 392], [692, 661], [1797, 1786], [198, 18], [692, 661], [1596, 1581], [296, 392], [374, 392], [1253, 1315], [525, 661]]",5,2,10,"1,1",18082027,7,"0,7070563213553573","0,2442156867847397","0,7070563213553573","0,31434519853496234","0,057","0,04607030887371327","0,943",0,0,218,195,374,253,248,253,247,212
"5378,188603794604","[[347, 395], [392, 296], [661, 374], [1831, 1369], [1981, 279], [1797, 1786], [1981, 279], [1596, 252], [198, 18], [817, 661]]",5,2,10,"1,1",18082028,8,"0,6899780450792746","0,2644495997161044","0,6899780450792746","0,30321979055517556","0,142","0,13348545004380377","0,858",294,167,124,313,0,219,279,275,194,135
"5423,310361786066","[[1981, 279], [392, 1907], [296, 661], [198, 18], [692, 753], [1506, 1536], [1831, 1369], [312, 1338], [1253, 1315], [392, 395]]",4,2,10,"1,1",18082029,9,"0,6738213698910358","0,2692940850954183","0,6738213698910358","0,28180684125541783","0,0905","0,08678830527135353","0,9095",204,234,124,273,245,149,217,240,152,162
"5563,666708032648","[[525, 242], [1981, 279], [392, 1717], [347, 395], [525, 817], [296, 392], [392, 817], [1981, 1099], [1981, 817], [1797, 1627]]",4,2,10,"1,1",18082030,10,"0,8223543991751234","0,1435379197540334","0,8223543991751234","0,2537139920885315","0,0665","0,0608656980864075","0,9335",239,260,87,319,190,162,62,193,88,400
"5379,393686910039","[[525, 939], [1981, 661], [395, 347], [242, 525], [1831, 1881], [692, 395], [1596, 252], [198, 18], [1797, 1786], [692, 753]]",3,2,10,"1,1",18082031,11,"0,6751879305070475","0,280013286579056","0,6751879305070475","0,33342168345065337","0,1755","0,16503764791568004","0,8245",87,170,274,112,305,114,263,194,245,236
"5389,358876796012","[[1831, 1369], [1797, 1786], [392, 395], [312, 1338], [392, 1907], [525, 817], [692, 661], [1267, 1320], [198, 18], [395, 347]]",3,2,10,"1,1",18082032,12,"0,6771273962101928","0,27098991234698266","0,6771273962101928","0,3420498386935374","0,0345","0,0342461826815287","0,9655",258,215,77,198,132,281,272,185,194,188
"5400,031199278862","[[296, 392], [1831, 1881], [1981, 817], [1596, 338], [198, 69], [374, 392], [1981, 279], [312, 251], [1797, 1786], [187, 36]]",5,2,10,"1,1",18082033,13,"0,6698881193616233","0,26949844774248477","0,6698881193616233","0,28200008101929935","0,14","0,13582729140550961","0,86",173,319,186,219,122,151,245,287,214,84
"5463,915155225635","[[692, 661], [198, 18], [692, 395], [392, 817], [692, 661], [1981, 262], [1506, 1536], [392, 296], [395, 347], [525, 595]]",4,2,10,"1,1",18082034,14,"0,758133565521478","0,197397649734958","0,758133565521478","0,2672158898469076","0,0685","0,05537008678304707","0,9315",0,280,94,153,223,355,193,287,219,196
"5401,985357607928","[[198, 18], [1831, 1803], [1981, 279], [392, 296], [525, 242], [1797, 1786], [661, 242], [1454, 1581], [1596, 252], [692, 661]]",3,2,10,"1,1",18082035,15,"0,6871004100200564","0,2635787321289147","0,6871004100200564","0,3273773733816814","0,1815","0,19643812912677094","0,8185",195,264,272,280,105,218,61,95,199,311
"5378,760880783295","[[1981, 279], [395, 347], [1831, 1881], [296, 661], [1797, 1786], [692, 746], [187, 73], [1596, 252], [392, 395], [198, 69]]",6,2,10,"1,1",18082036,16,"0,6621341529421432","0,2758011803854167","0,6621341529421432","0,29039492602546263","0,1345","0,11921242110834321","0,8654999999999999",257,240,296,151,224,255,87,280,95,115
"5395,136352024464","[[1797, 1786], [1803, 1831], [198, 18], [661, 1981], [279, 1981], [1596, 1581], [347, 395], [692, 395], [1797, 1786], [1831, 1369]]",3,2,10,"1,1",18082037,17,"0,671171784614208","0,25768807213729905","0,671171784614208","0,3207769808036476","0,172","0,15854702518475988","0,8280000000000001",0,166,194,110,248,257,312,252,251,210
"5408,630686133742","[[187, 131], [1267, 1253], [262, 253], [395, 347], [1786, 1797], [692, 662], [525, 296], [392, 374], [198, 69], [1596, 1479]]",5,2,10,"1,1",18082038,18,"0,6606472639913592","0,27863393571994255","0,6606472639913592","0,3007446998899019","0,086","0,09617732040733303","0,914",72,223,199,230,217,265,221,176,135,262
"5413,75681032802","[[392, 296], [1981, 1831], [817, 661], [395, 347], [384, 374], [1797, 1786], [692, 395], [1831, 1369], [661, 1831], [198, 18]]",4,2,10,"1,1",18082039,19,"0,7254819788858256","0,2264179363902007","0,7254819788858256","0,3042110640214579","0,0715","0,06630648394996187","0,9285",156,258,223,238,183,226,231,250,41,194
"5396,401513959766","[[692, 661], [525, 395], [692, 817], [395, 374], [198, 18], [395, 661], [1831, 1881], [1596, 252], [1797, 1786], [242, 336]]",4,2,10,"1,1",18082040,20,"0,7002874315263516","0,255531328931921","0,7002874315263516","0,32834295057869606","0,242","0,22240169591510855","0,758",245,90,170,247,194,94,370,227,235,128
"5372,193013528941","[[1797, 1786], [1981, 692], [279, 242], [198, 18], [692, 661], [392, 395], [1803, 1322], [1831, 1369], [1596, 252], [347, 395]]",5,2,10,"1,1",18082041,21,"0,65976552170692","0,2897472977381603","0,65976552170692","0,33615797506331435","0,07","0,07691253530434244","0,9299999999999999",234,170,209,194,213,119,135,212,275,239
"5386,7892981611585","[[1596, 252], [1981, 1099], [1797, 1786], [347, 395], [661, 296], [1831, 1369], [198, 18], [662, 1981], [279, 1981], [661, 296]]",4,2,10,"1,1",18082042,22,"0,6787881497916918","0,27553770237575836","0,6787881497916918","0,33000652782074386","0,0305","0,02598961154587246","0,9695",286,141,238,305,0,295,194,158,212,171
"5411,191014493581","[[1803, 1831], [395, 347], [392, 296], [1831, 1369], [392, 296], [692, 661], [198, 69], [692, 262], [1596, 252], [187, 46]]",4,2,10,"1,1",18082043,23,"0,7032759293521521","0,23564639745841431","0,7032759293521521","0,2822460331050057","0,072","0,06767935730029702","0,928",209,252,0,216,213,181,140,247,298,244
"5366,981833389611","[[1981, 279], [955, 392], [1253, 1315], [198, 18], [1596, 252], [1831, 1369], [1797, 1786], [296, 392], [347, 395], [525, 817]]",4,2,10,"1,1",18082044,24,"0,6448641387872062","0,30370854905501765","0,6448641387872062","0,32557265777034977","0,0195","0,020182394932510013","0,9805",184,164,157,194,260,266,215,130,284,146
"5454,588759383921","[[347, 395], [661, 1981], [692, 262], [392, 374], [279, 1981], [1596, 1581], [1831, 1881], [187, 120], [661, 817], [187, 120]]",6,2,10,"1,1",18082045,25,"0,7357645330654078","0,19137566342918477","0,7357645330654078","0,2682096886575917","0,078","0,0698762093883486","0,922",244,78,253,233,194,238,289,0,106,365
