cost,first_prototypes,last_prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"6657,765215421584","[[15, 511], [380, 139], [1026, 1539], [444, 271], [1340, 551], [1881, 1049], [32, 417], [483, 928], [67, 1105], [1928, 1609]]","[[1722, 1689], [1722, 1689], [692, 661], [692, 661], [692, 1722], [692, 661], [1722, 1689], [692, 661], [1722, 1689], [692, 1722]]",6,2,10,"1,6",18082020,0,"0,9958743792561295","0,002101153588064286","0,9958743792561295","0,20713265980080836","0,1715","0,15032885760057207","0,8285",0,10,569,444,112,3,185,33,510,134
"6653,8663067012785","[[390, 97], [1360, 1754], [678, 1429], [307, 1996], [422, 1898], [1278, 240], [1174, 1778], [1962, 1028], [1276, 1129], [976, 831]]","[[1722, 1765], [1722, 1689], [692, 661], [692, 661], [449, 503], [692, 1722], [1722, 1689], [1890, 1831], [1722, 1689], [692, 1722]]",7,2,10,"1,6",18082021,1,"0,9933026173436315","0,003750179141222998","0,9933026173436315","0,33985102536582995","0,19","0,16203789391223195","0,81",288,36,314,163,293,94,182,445,94,91
"6650,955237447586","[[1592, 1365], [48, 447], [201, 1268], [1213, 1568], [1211, 1972], [1291, 1689], [280, 136], [199, 1844], [1182, 1481], [1348, 479]]","[[692, 661], [1722, 1689], [692, 661], [692, 661], [692, 661], [1722, 1689], [1722, 1689], [1722, 1765], [692, 661], [692, 661]]",6,2,10,"1,6",18082022,2,"0,9949109801971098","0,0026252068255548933","0,9949109801971098","0,1597834007762232","0,094","0,07347356774632055","0,906",4,4,530,0,5,263,180,404,609,1
"6655,941921769478","[[530, 968], [1697, 1260], [1556, 1524], [723, 1007], [1877, 966], [1925, 452], [276, 607], [1920, 298], [1030, 1218], [919, 1312]]","[[1722, 1689], [1722, 1689], [1890, 1831], [692, 1722], [1722, 1885], [1890, 1831], [692, 661], [692, 1722], [1722, 1689], [1722, 1717]]",7,2,10,"1,6",18082023,3,"0,9942854703839663","0,003094614680359986","0,9942854703839663","0,2752055761801297","0,045","0,03130098929298446","0,955",60,333,439,21,81,120,526,17,0,403
"6655,458773604194","[[1925, 886], [1234, 1475], [256, 1221], [206, 263], [5, 1253], [686, 1844], [1240, 892], [566, 1266], [1541, 1714], [345, 1195]]","[[692, 1864], [692, 661], [1722, 1662], [692, 661], [1722, 1689], [692, 661], [1722, 1717], [1722, 1689], [1722, 1689], [692, 661]]",6,2,10,"1,6",18082024,4,"0,9952606915559868","0,0024420210885647275","0,9952606915559868","0,2876116640578682","0,1745","0,13700443046292532","0,8255",460,333,184,2,272,318,377,47,3,4
"6659,901542591337","[[70, 238], [284, 686], [1221, 381], [1358, 969], [1846, 409], [95, 1233], [1270, 922], [825, 1562], [1587, 988], [772, 1310]]","[[1722, 1765], [692, 661], [692, 1722], [1722, 1717], [588, 504], [1722, 1689], [1722, 1662], [692, 661], [692, 661], [692, 1722]]",6,2,10,"1,6",18082025,5,"0,9942814051791216","0,0031983795510319712","0,9942814051791216","0,30238410509989","0,1065","0,0947601834669762","0,8935",239,458,31,363,435,127,83,0,247,17
"6657,448096510625","[[1791, 746], [30, 466], [844, 931], [1495, 1021], [948, 1200], [1960, 1056], [1992, 1248], [295, 548], [1184, 730], [1630, 903]]","[[692, 1722], [1722, 1689], [692, 1722], [692, 661], [1722, 1717], [1890, 1831], [692, 1722], [692, 661], [692, 1722], [1722, 1689]]",6,2,10,"1,6",18082026,6,"0,9954807623489055","0,002507666577818979","0,9954807623489055","0,30479523380185597","0,19850000000000004","0,141004720340663","0,8015",21,72,0,316,414,581,0,226,26,344
"6650,677902745578","[[1130, 1838], [1051, 1373], [160, 1689], [4, 1122], [1211, 1022], [1432, 1829], [1701, 1963], [894, 10], [1222, 1867], [1418, 1171]]","[[692, 661], [1722, 692], [1722, 1689], [1722, 1689], [1722, 692], [1890, 1831], [692, 661], [1722, 1662], [692, 661], [692, 661]]",6,2,10,"1,6",18082027,7,"0,9945395794909246","0,0029893122910081837","0,9945395794909246","0,2653559983090049","0,053","0,048020596394026296","0,947",0,77,349,91,77,584,231,266,0,325
"6646,6536484255375","[[1156, 1970], [864, 1841], [1800, 1485], [481, 1180], [1401, 32], [920, 153], [1727, 1392], [627, 9], [1923, 284], [1609, 291]]","[[692, 661], [692, 661], [1890, 1831], [1722, 1689], [1722, 1689], [1722, 1689], [1722, 1689], [1722, 1689], [1890, 661], [692, 661]]",6,2,10,"1,6",18082020,0,"0,99341589886989","0,003484482560643376","0,99341589886989","0,25379293817141746","0,08950000000000001","0,06375643971218087","0,9105",348,0,549,9,8,522,182,0,83,299
"6675,555741689108","[[1299, 271], [766, 1305], [831, 1344], [1053, 1229], [1704, 1142], [913, 919], [1431, 1943], [25, 1780], [1500, 1408], [981, 364]]","[[692, 1722], [692, 1722], [692, 1722], [692, 1722], [1722, 1689], [1722, 1717], [1890, 1831], [78, 1722], [1440, 1556], [692, 1722]]",5,2,10,"1,6",18082021,1,"0,9926831961143017","0,004308003179733344","0,9926831961143017","0,342758891803934","0,021","0,015026577346910246","0,979",138,213,0,0,216,407,457,238,331,0
"6655,141084939526","[[977, 104], [462, 621], [477, 137], [1027, 82], [453, 832], [592, 1315], [1402, 773], [1068, 1470], [134, 321], [612, 759]]","[[1722, 1689], [692, 1722], [1722, 1689], [1722, 1689], [692, 1722], [692, 1722], [1890, 1831], [692, 661], [1722, 1689], [692, 661]]",6,2,10,"1,6",18082022,2,"0,9950310579296227","0,0027124470656320065","0,9950310579296227","0,2728744280938066","0,0605","0,0695988645552446","0,9395",0,108,0,484,104,0,588,239,151,326
"6645,047586371647","[[1240, 1231], [67, 1859], [128, 1770], [1556, 1940], [320, 1449], [958, 1761], [846, 676], [461, 707], [1015, 499], [1349, 887]]","[[1722, 1717], [1722, 1689], [1722, 1689], [1890, 1831], [692, 661], [1722, 1662], [692, 661], [692, 661], [1890, 1831], [1722, 692]]",7,2,10,"1,6",18082023,3,"0,9932073314401137","0,003670124433537758","0,9932073314401137","0,2960408051346957","0,0375","0,031456282198750615","0,9625",392,37,263,454,221,157,314,1,122,39
"6668,403770629349","[[129, 1390], [429, 1383], [1877, 888], [1884, 580], [910, 1350], [807, 104], [1287, 1596], [1754, 1481], [124, 300], [1093, 715]]","[[1722, 1689], [692, 1722], [661, 692], [504, 566], [1722, 1717], [1722, 1689], [692, 1722], [692, 1722], [1722, 1689], [661, 692]]",5,2,10,"1,6",18082024,4,"0,9952869394764312","0,002575130294867778","0,9952869394764312","0,31932942208954673","0,1365","0,10358090815453788","0,8634999999999999",0,0,219,494,405,340,42,18,38,444
"6648,161371234413","[[99, 329], [1783, 1676], [1250, 1306], [1891, 1521], [698, 1303], [563, 715], [384, 766], [1287, 1386], [1107, 1284], [426, 745]]","[[1722, 1765], [1722, 1689], [1722, 1717], [1890, 1831], [692, 1722], [692, 661], [692, 661], [1722, 1689], [1722, 1689], [692, 661]]",6,2,10,"1,6",18082025,5,"0,994021466712978","0,003238965708016295","0,994021466712978","0,2932100424257077","0,08950000000000001","0,08144541236300741","0,9105",250,147,392,576,44,226,3,50,0,312
"6661,60063001602","[[1357, 998], [1935, 1873], [924, 971], [1636, 949], [1960, 1315], [1372, 552], [898, 482], [600, 1501], [1515, 544], [957, 759]]","[[1722, 1717], [1890, 1831], [1722, 1717], [1722, 1689], [692, 1722], [1722, 1689], [1722, 1689], [661, 692], [449, 503], [692, 1722]]",6,2,10,"1,6",18082026,6,"0,9939077223552144","0,0034437340708699526","0,9939077223552144","0,35004590484649895","0,0625","0,048915641382581296","0,9375",301,442,100,334,21,3,30,460,283,26
"6662,941293377703","[[1828, 964], [139, 1567], [1488, 1506], [88, 1468], [1368, 598], [1782, 461], [1189, 1021], [857, 1340], [1973, 133], [1894, 995]]","[[692, 661], [1722, 1765], [1440, 1556], [1722, 1765], [692, 661], [1722, 1765], [1722, 692], [692, 661], [1722, 1765], [692, 661]]",6,2,10,"1,6",18082027,7,"0,9920946774211348","0,004383908688993965","0,9920946774211348","0,28277703073720634","0,18549999999999997","0,12425108154731261","0,8145",243,0,463,135,1,8,301,398,450,1
"6677,1269139505675","[[43, 1210], [861, 565], [954, 1982], [1321, 667], [1205, 1982], [781, 1166], [569, 1938], [1088, 703], [1729, 848], [1084, 316]]","[[1722, 1689], [692, 1722], [692, 1722], [692, 1722], [1722, 1689], [692, 1722], [661, 692], [692, 1722], [692, 1722], [692, 1722]]",5,2,10,"1,6",18082028,8,"0,9984104946824394","0,0008452033700068196","0,9984104946824394","0,1509013018012829","0,147","0,10520259810932404","0,853",520,114,0,0,185,134,1047,0,0,0
"6655,141084939525","[[1576, 1734], [1467, 850], [1988, 764], [1527, 1976], [632, 842], [809, 1430], [1007, 1376], [33, 501], [1948, 1397], [200, 846]]","[[1722, 1689], [692, 1722], [692, 661], [1890, 1831], [692, 1722], [692, 661], [1722, 1689], [1722, 1689], [1722, 1689], [692, 1722]]",6,2,10,"1,6",18082029,9,"0,9950310579287438","0,002712447066172463","0,9950310579287438","0,2671575002780384","0,122","0,10165262658542736","0,878",149,0,238,588,108,327,440,46,0,104
"6660,8131968237885","[[1494, 1571], [556, 830], [1887, 448], [1597, 1148], [882, 1073], [1454, 460], [1957, 678], [1146, 595], [599, 1993], [367, 1903]]","[[1890, 1831], [692, 661], [1722, 1689], [1722, 1689], [692, 1722], [449, 503], [692, 1722], [1722, 1689], [1722, 1689], [692, 1722]]",6,2,10,"1,6",18082030,10,"0,9940895881765612","0,0033307663772793594","0,9940895881765612","0,3241177377161432","0,075","0,06078146085327758","0,925",446,479,100,5,0,294,107,468,2,99
"6656,630331449705","[[460, 1742], [1685, 1964], [1466, 362], [1288, 1926], [16, 1970], [271, 394], [1733, 1004], [1405, 111], [222, 452], [1542, 916]]","[[1722, 1689], [1722, 1689], [692, 661], [692, 1722], [1722, 1689], [692, 661], [692, 1722], [1722, 1765], [692, 661], [692, 661]]",6,2,10,"1,6",18082031,11,"0,995744866920355","0,00218420032425537","0,995744866920355","0,18348682663719026","0,0215","0,021824642420691563","0,9785",156,0,556,109,241,3,101,362,470,2
"6659,166969961461","[[636, 1537], [1038, 1762], [1495, 1698], [922, 1816], [376, 799], [1769, 1272], [1758, 26], [1243, 47], [641, 428], [1747, 182]]","[[692, 661], [1722, 1689], [692, 661], [692, 1722], [692, 661], [1722, 1662], [1722, 1689], [1722, 1689], [449, 503], [1722, 1689]]",6,2,10,"1,6",18082032,12,"0,9943043550011589","0,0030700705787847227","0,9943043550011589","0,27587957432077487","0,026","0,03259425257871107","0,974",421,3,231,170,9,233,68,0,511,354
"6661,77566052453","[[162, 892], [2, 276], [1586, 1068], [17, 1658], [330, 416], [1061, 1550], [1065, 1964], [965, 569], [1557, 822], [110, 392]]","[[1722, 1689], [1722, 1689], [692, 661], [1722, 1689], [692, 661], [449, 566], [692, 661], [692, 1722], [692, 1722], [1722, 1689]]",6,2,10,"1,6",18082033,13,"0,9948176340523033","0,002737964158748274","0,9948176340523033","0,28706048122701205","0,0325","0,0273989687195225","0,9675",4,113,435,475,218,528,1,101,124,1
"6644,009062329675","[[943, 961], [1954, 1226], [1444, 67], [1155, 1650], [1970, 230], [973, 1593], [1281, 532], [137, 244], [1866, 1113], [1686, 506]]","[[692, 661], [692, 661], [1722, 1689], [1722, 1689], [1890, 1831], [692, 661], [692, 661], [1722, 1689], [1722, 1689], [1722, 1689]]",6,2,10,"1,6",18082034,14,"0,9935637532078713","0,003426712811680943","0,9935637532078713","0,2549457710811076","0,025000000000000005","0,017216328943034185","0,975",0,370,0,517,590,318,0,3,15,187
"6663,152900703783","[[1891, 101], [1809, 674], [1846, 811], [1085, 188], [1526, 963], [1858, 955], [388, 26], [438, 1617], [1189, 1724], [1348, 952]]","[[692, 1722], [661, 692], [692, 1722], [1722, 1689], [661, 692], [661, 692], [1722, 1662], [1722, 1689], [1722, 1689], [1722, 1717]]",5,2,10,"1,6",18082035,15,"0,9961974627676639","0,001959748340017664","0,9961974627676639","0,22880475640972855","0,08","0,051376893440997974","0,92",46,455,19,280,558,0,194,54,0,394
"6654,407359343324","[[195, 1039], [1503, 1641], [630, 747], [1228, 1301], [653, 1815], [1907, 302], [777, 838], [104, 206], [789, 1882], [1651, 335]]","[[1722, 1689], [1722, 1689], [661, 692], [1722, 1717], [1890, 1831], [692, 1722], [692, 1722], [1722, 1765], [661, 692], [1722, 1689]]",6,2,10,"1,6",18082036,16,"0,9946786189994328","0,002915138101209247","0,9946786189994328","0,2931705753508337","0,029","0,03441989871301504","0,971",136,2,316,392,576,20,24,250,225,59
"6669,461802412681","[[50, 1513], [1144, 142], [1783, 1438], [1834, 1412], [1338, 197], [781, 1206], [1789, 1339], [878, 438], [630, 970], [614, 1222]]","[[692, 1722], [1722, 1689], [692, 1722], [1890, 1831], [1722, 1689], [692, 1722], [1722, 1689], [692, 1722], [692, 1722], [692, 1722]]",5,2,10,"1,6",18082037,17,"0,9967914819072647","0,001809034661813147","0,9967914819072647","0,23135184824450009","0,058","0,03971747169421981","0,942",0,44,269,738,147,0,458,0,344,0
"6670,261769679228","[[222, 144], [1757, 1086], [1413, 64], [1022, 1643], [559, 750], [1425, 962], [1300, 371], [313, 68], [579, 155], [302, 1966]]","[[1722, 1689], [692, 1722], [1885, 1722], [1722, 1689], [661, 692], [661, 692], [692, 1722], [1722, 1689], [1722, 1689], [692, 1722]]",6,2,10,"1,6",18082038,18,"0,9969724927625756","0,0015651076354037396","0,9969724927625756","0,2420902318127323","0,201","0,1431417812235352","0,7989999999999999",145,0,305,1,435,450,97,0,473,94
"6653,735930693376","[[60, 289], [1240, 1322], [994, 304], [713, 779], [109, 225], [1351, 533], [1370, 1316], [1691, 1726], [1025, 508], [910, 237]]","[[1722, 1765], [1722, 1765], [692, 661], [692, 661], [1722, 1765], [1722, 1765], [1722, 1765], [1722, 1765], [692, 661], [692, 661]]",6,2,10,"1,6",18082039,19,"0,9950275977725125","0,002484856120212098","0,9950275977725125","0,16970000769409313","0,142","0,07289048555789632","0,858",0,8,579,617,0,236,3,556,0,1
"6648,808796626087","[[1639, 1746], [489, 1646], [1468, 725], [1626, 1503], [700, 1627], [911, 1881], [1332, 663], [1954, 214], [1480, 227], [190, 557]]","[[1722, 1689], [1722, 1689], [692, 661], [1722, 1689], [1722, 1662], [692, 661], [692, 1722], [1890, 1831], [692, 661], [1722, 1689]]",6,2,10,"1,6",18082040,20,"0,9941043835004048","0,0031778344321997665","0,9941043835004048","0,26332880168258227","0,1275","0,08606243237707796","0,8725",60,0,324,82,270,232,153,582,1,296
"6644,219456203959","[[956, 1169], [1135, 536], [1843, 1869], [487, 917], [1387, 663], [1144, 716], [830, 297], [723, 983], [1401, 1569], [1521, 1624]]","[[1722, 1689], [1722, 1689], [1890, 1831], [1722, 1662], [692, 661], [1722, 1689], [692, 661], [692, 661], [1890, 1831], [1722, 692]]",6,2,10,"1,6",18082041,21,"0,9931343801408806","0,003687875081450964","0,9931343801408806","0,2675635105978587","0,1325","0,09444040547628683","0,8674999999999999",350,91,456,265,4,0,236,316,128,154
"6657,7510975762525","[[1462, 625], [1534, 1083], [1744, 1455], [1446, 898], [1808, 1263], [380, 509], [818, 1039], [1764, 695], [139, 82], [1090, 1010]]","[[661, 753], [692, 661], [1722, 692], [1722, 692], [1722, 692], [692, 661], [1722, 692], [1722, 1689], [78, 25], [692, 661]]",6,2,10,"1,6",18082042,22,"0,9939219417194076","0,0036141470731323455","0,9939219417194076","0,22858347991449302","0,054","0,05892196405851809","0,946",672,1,99,2,0,204,109,423,294,196
"6655,141084939525","[[803, 1216], [706, 1148], [1752, 1696], [1980, 1755], [293, 178], [984, 743], [1885, 7], [1755, 1988], [1964, 352], [1726, 1148]]","[[692, 1722], [692, 1722], [1722, 1689], [692, 1722], [1722, 1689], [692, 661], [1722, 1689], [692, 661], [1890, 1831], [1722, 1689]]",6,2,10,"1,6",18082043,23,"0,9950310579288077","0,00271244706613305","0,9950310579288077","0,27328365459301557","0,1105","0,08792404088300929","0,8895",0,108,151,104,0,327,481,238,588,3
"6662,027021484043","[[97, 861], [680, 1985], [1953, 1552], [1310, 777], [395, 1308], [599, 96], [595, 1089], [899, 1961], [1676, 1208], [914, 1930]]","[[1722, 1689], [661, 692], [1890, 1831], [692, 1722], [692, 1722], [1722, 1689], [692, 1722], [692, 1722], [1722, 1689], [692, 1722]]",5,2,10,"1,6",18082044,24,"0,9960107707271197","0,0022266298513881067","0,9960107707271197","0,24087330305418167","0,191","0,1124928196634603","0,8089999999999999",1,565,588,106,0,151,105,0,483,1
"6657,185302399817","[[1788, 1771], [114, 1271], [897, 64], [1229, 235], [1050, 1448], [413, 778], [731, 1090], [660, 1242], [387, 70], [45, 440]]","[[1722, 1689], [1722, 1689], [1722, 1689], [692, 1722], [692, 661], [1890, 1831], [692, 661], [692, 1722], [1722, 1864], [1722, 1689]]",7,2,10,"1,6",18082045,25,"0,9949652788689598","0,002747458346817888","0,9949652788689598","0,2751406668095951","0,15","0,09653501702491825","0,85",472,3,1,89,231,572,302,84,110,136
"6662,027021484043","[[853, 725], [596, 849], [405, 928], [335, 1917], [887, 614], [1941, 699], [541, 1689], [1326, 1958], [834, 311], [267, 599]]","[[692, 1722], [692, 1722], [692, 1722], [1890, 1831], [692, 1722], [1722, 1689], [1722, 1689], [1722, 1689], [692, 1722], [661, 692]]",7,2,10,"1,6",18082046,26,"0,996010770708448","0,0022266298619513236","0,996010770708448","0,2565194363809223","0,0255","0,02340296278486783","0,9745",107,104,0,588,0,72,416,147,1,565
"6655,21658978627","[[649, 1751], [1641, 1282], [947, 696], [1590, 83], [1631, 1319], [1285, 1419], [1167, 585], [499, 1893], [197, 462], [1632, 410]]","[[692, 1722], [1722, 1689], [661, 692], [1722, 1689], [1722, 1689], [692, 1722], [661, 692], [1890, 1831], [1722, 1689], [1722, 1689]]",6,2,10,"1,6",18082047,27,"0,9947824086473102","0,0028295866135560344","0,9947824086473102","0,27302181713531704","0,094","0,05157040860102754","0,906",112,478,326,138,4,100,239,588,3,12
"6652,798059047818","[[890, 836], [846, 1807], [1201, 1012], [531, 701], [201, 1794], [169, 542], [1027, 985], [763, 127], [889, 1655], [1695, 1396]]","[[692, 661], [692, 661], [692, 661], [449, 566], [1722, 1765], [1722, 1765], [692, 661], [1722, 1765], [1722, 1765], [1722, 1765]]",6,2,10,"1,6",18082048,28,"0,9936336290142374","0,003315548260473644","0,9936336290142374","0,25855445479614064","0,0595","0,057870865589815454","0,9405",294,485,0,544,159,0,0,54,38,426
"6643,161410645189","[[447, 1719], [1647, 1178], [1418, 1356], [1346, 1719], [864, 704], [1502, 587], [94, 218], [1248, 1027], [1316, 1087], [996, 924]]","[[1722, 1689], [1722, 1689], [692, 661], [1722, 1689], [692, 661], [1890, 1831], [1722, 1765], [692, 661], [692, 661], [692, 661]]",7,2,10,"1,6",18082049,29,"0,9934747841134994","0,0035184034062493152","0,9934747841134994","0,24127698985644008","0,077","0,05245685024402794","0,923",155,246,304,3,365,585,338,0,4,0
"6663,402066442725","[[319, 3], [843, 349], [1287, 282], [1994, 1719], [33, 1937], [205, 1641], [1461, 1544], [154, 1855], [406, 1119], [1349, 1666]]","[[1722, 1689], [692, 661], [692, 661], [1722, 1689], [692, 1864], [1722, 1689], [1473, 1440], [1722, 1689], [692, 661], [1722, 1689]]",6,2,10,"1,6",18082050,30,"0,9921334220805912","0,004391037075917703","0,9921334220805912","0,26777554451005836","0,075","0,0567216118412416","0,925",0,350,37,162,399,3,456,483,80,30
"6656,9087249388285","[[762, 1473], [1685, 672], [1688, 590], [229, 239], [1040, 262], [1142, 1280], [955, 1859], [826, 1436], [460, 1722], [824, 1824]]","[[692, 661], [1722, 1689], [1722, 1689], [692, 661], [1722, 1689], [1722, 1689], [692, 661], [692, 661], [1722, 1689], [1722, 1885]]",6,2,10,"1,6",18082051,31,"0,9953781018482574","0,0023378557179529746","0,9953781018482574","0,2282979943421112","0,169","0,15951642716917788","0,831",486,0,168,348,486,4,0,152,25,331
