cost,prototypes,times,q,K,m,seed,name,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"16219,908927493445","[[1722, 1689], [1722, 1689], [1440, 1556], [588, 504], [692, 678], [1890, 1831], [1722, 1689], [1717, 1219], [78, 25], [1998, 1907]]",8,2,10,"1,2",18082020,todas,0,"0,8743494365497836","0,09732329067144485","0,8743494365497836","0,482706593369742","0,091","0,08633936866059042","0,909",151,0,209,227,391,220,33,349,241,179
"16225,493786592187","[[78, 25], [1722, 1689], [588, 504], [1890, 1831], [661, 692], [753, 661], [1722, 1689], [1717, 1722], [1717, 1722], [374, 221]]",9,2,10,"1,2",18082021,todas,1,"0,8926125280762788","0,08058292108313847","0,8926125280762788","0,4637073451923496","0,232","0,21126429841234412","0,768",239,143,273,373,133,216,27,209,71,316
"16269,129298634129","[[753, 692], [78, 25], [661, 692], [503, 449], [692, 1717], [1722, 1689], [1722, 1765], [1890, 1831], [753, 661], [1722, 1689]]",7,2,10,"1,2",18082022,todas,2,"0,9065816310833791","0,06695808535397263","0,9065816310833791","0,39259304305226617","0,136","0,09544562958366455","0,864",121,230,143,263,370,103,102,412,205,51
"16144,72508743169","[[78, 25], [78, 25], [1440, 1556], [374, 221], [78, 25], [588, 504], [661, 692], [1890, 1831], [78, 25], [1322, 1357]]",10,2,10,"1,2",18082023,todas,3,"0,8537395464539806","0,10559348051699624","0,8537395464539806","0,5240315369817387","0,1065","0,07932245867152472","0,8935",38,0,186,295,0,232,296,287,389,277
"16194,351944559883","[[1890, 1881], [1722, 1765], [374, 221], [692, 661], [78, 25], [753, 661], [1717, 1219], [588, 504], [493, 452], [78, 25]]",8,2,10,"1,2",18082024,todas,4,"0,8761873554715947","0,08605802484486103","0,8761873554715947","0,49755059623452413","0,166","0,15222378066860826","0,834",309,180,293,120,225,204,316,204,137,12
"16243,089688452423","[[78, 25], [661, 753], [221, 692], [221, 692], [1890, 1831], [1722, 25], [1717, 1359], [588, 504], [1722, 25], [661, 753]]",8,2,10,"1,2",18082025,todas,5,"0,8907697550032303","0,07561594418818396","0,8907697550032303","0,4676878502889469","0,245","0,21784157090397552","0,755",255,72,101,164,397,132,352,269,24,234
"16200,967572935295","[[1722, 1689], [78, 25], [221, 692], [1890, 1831], [1322, 1357], [1890, 1831], [1717, 1722], [588, 504], [1722, 1689], [753, 661]]",8,2,10,"1,2",18082026,todas,6,"0,8735436638760312","0,09415417523578806","0,8735436638760312","0,4767210896360745","0,1465","0,1497856451753043","0,8535",24,239,266,284,273,111,99,264,144,296
"16170,303096420617","[[661, 692], [692, 1717], [78, 25], [78, 25], [692, 1099], [1440, 1556], [1890, 1831], [1722, 1689], [692, 1717], [588, 504]]",8,2,10,"1,2",18082027,todas,7,"0,8768900495373562","0,08932488452660581","0,8768900495373562","0,5308847328343032","0,017","0,01792042658732531","0,983",299,186,229,11,175,194,307,221,149,229
"16302,678010542695","[[1099, 1025], [1722, 1689], [221, 692], [692, 1717], [588, 504], [1722, 436], [1717, 1722], [1890, 1831], [78, 25], [753, 661]]",7,2,10,"1,2",18082028,todas,8,"0,8949611557868168","0,08173163267998429","0,8949611557868168","0,526551607405341","0,1355","0,1173962366502908","0,8645",181,156,248,98,269,3,196,371,229,249
"16278,297625831456","[[692, 1722], [1890, 1998], [753, 1831], [78, 25], [692, 221], [1440, 1586], [503, 528], [1717, 1219], [1717, 1359], [1722, 1689]]",7,2,10,"1,2",18082029,todas,9,"0,8744543505838782","0,10013182119248976","0,8744543505838782","0,4884905261800056","0,052","0,043075321626658745","0,948",51,252,174,244,322,227,197,138,219,176
"16206,31791402243","[[1993, 1885], [661, 692], [374, 254], [588, 504], [661, 692], [1831, 1890], [1717, 1722], [78, 25], [78, 25], [1717, 1722]]",8,2,10,"1,2",18082030,todas,10,"0,8907295734989974","0,07621073135375722","0,8907295734989974","0,45515251637642395","0,0965","0,08825116948421696","0,9035",112,238,261,281,53,345,280,271,18,141
"16254,422811404016","[[1831, 1890], [1357, 1346], [661, 692], [1831, 1890], [753, 661], [692, 1717], [1722, 1689], [78, 25], [1643, 1722], [661, 692]]",7,2,10,"1,2",18082031,todas,11,"0,8913375000862978","0,07940372303972631","0,8913375000862978","0,3507297932447769","0,0995","0,1120612372050415","0,9005",358,296,99,159,290,172,115,240,163,108
